2026-07-26 21:35:06 | stm32u375ce | table_81 | page=141 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:06 | stm32u375ce | table_82 | page=141 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:06 | stm32u385cg | table_93 | page=154 | Y=5.3.16 Extended interrupt and event controller input (EXTI) characteristics | outline/toc=5.3.17 Analog switches booster
2026-07-26 21:35:06 | stm32u375ce | table_85 | page=143 | Y=5.3.13 I/O current injection characteristics | outline/toc=5.3.14 I/O port characteristics
2026-07-26 21:35:06 | stm32u385cg | table_98 | page=159 | Y=5.3.19 Temperature sensor characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:06 | stm32u385cg | table_99 | page=159 | Y=5.3.20 V monitoring characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:06 | stm32u375ce | table_93 | page=151 | Y=5.3.16 Extended interrupt and event controller input (EXTI) characteristics | outline/toc=5.3.17 Analog switches booster
2026-07-26 21:35:06 | stm32u375ce | table_98 | page=156 | Y=5.3.19 Temperature sensor characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:06 | stm32u375ce | table_99 | page=156 | Y=5.3.20 V monitoring characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:06 | stm32u385cg | table_107 | page=170 | Y=5.3.26 ADF characteristics | outline/toc=5.3.27 Timer characteristics
2026-07-26 21:35:06 | stm32u385cg | table_108 | page=171 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
2026-07-26 21:35:06 | stm32u385cg | table_109 | page=171 | Y=5.3.27 Timer characteristics | outline/toc=5.3.28 OCTOSPI characteristics
